Tip Matrice,Nr threads,Timp executie
input_3_10_10.txt,1,0
input_5_1000_1000.txt,1,51.4
input_5_1000_1000.txt,2,26.1
input_5_1000_1000.txt,4,16.2
input_5_1000_1000.txt,8,14.5
input_5_1000_1000.txt,16,14.8
input_5_10000_10.txt,1,5.9
input_5_10000_10.txt,2,3.7
input_5_10000_10.txt,4,2
input_5_10000_10.txt,8,3
input_5_10000_10.txt,16,3
input_5_10_1000.txt,1,0.1
input_5_10_1000.txt,2,0.7
input_5_10_1000.txt,4,1
input_5_10_1000.txt,8,1.1
input_5_10_1000.txt,16,2
